Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL120185,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,2000
CHEMBL205742,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21,16000
CHEMBL1956397,NC(=O)C[S+]([O-])Cc1ccccc1-c1ccc(Cl)cc1,233000
CHEMBL103320,Cc1ccc(N/C=N/O)cc1,79000
CHEMBL521347,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(Cl)cc2F)N=C(c2ccnc(Cl)c2)N1,2500
CHEMBL2299354,COc1ccc(/C=C/C(=O)c2ccc[nH]2)cc1,20000
CHEMBL4061752,O=C(/C=C/c1cccc(Br)c1)c1ccc[nH]1,20000
CHEMBL2299352,O=C(/C=C/c1ccc(Br)cc1)c1ccc[nH]1,20000
CHEMBL3909277,CCC(O)c1nc(C)nn1-c1cc(N2CC(c3nc4ccccc4n3C)C2)nc(C)n1,50000
CHEMBL2376577,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccccc3)cc2C(=O)O)cc1,3000
CHEMBL482480,O=C(CCc1csc(-c2ccc(O)cc2Cl)n1)Nc1ccccc1C(=O)O,1200
CHEMBL481659,O=C(O)[C@H](Cc1ccc(-n2c(-c3cccnc3)nc3cccnc32)cc1)NC1=C(Br)C(=O)C12CCCCC2,10000
CHEMBL267865,CCCCc1ccc(/N=C/NO)c(C)c1,3300
CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.3
CHEMBL3422010,Cc1nc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)cs1,21000
CHEMBL266647,CC(C)C[C@H](NC(=O)CCN(C)C)c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,10000
CHEMBL1371684,Cc1ccc(CSc2nc(O)c3c(n2)CCC3)cc1,8800
CHEMBL558448,Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3F)c21,8400
CHEMBL1269597,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,13400
CHEMBL1778388,CN(C(=O)C1(c2ccc(F)cc2)CCCC1)[C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1,50000
CHEMBL521326,O=C(CCc1nnn2c1ccc1cc(O)ccc12)Nc1ccccc1C(=O)O,1500
CHEMBL1271427,NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4cccc(C(F)(F)F)n4)C1)C(C3)C2,2400
