Structure_ID,SMILES
7500,O=S(=O)(Nc1ccnn1-c2ccccc2)c3ccc(cc3)N
7947,NCCc1cc(c(c(c1)OC)SCCCC(C)C)OC
7510,CC=1NC(=NC(C=1C(=O)Nc2cc3cnn(c3cc2F)[H])c4ccc(cc4F)Cl)c5ccnc(c5)Cl
7526,S=C1SC(C(N1CCc2ccccc2)=O)=Cc3oc(cc3)-c4cc(c(cc4)Cl)C(O)=O
7580,O=C1N(c2ccnc3c2c(N1)c(s3)C(=O)N[C@@H]4CCC[C@@H]4NC(=O)C=C)c5cnc(cc5C)CC(C)C
7618,NCCc1cc(c(cc1OC)SCCCC)OC
7623,O=c1nc(c2cc(c(nc2n1-c3c(ccnc3C(C)C)SC)-c4c(c(ccc4N)Cl)F)Cl)N5CCN(C[C@@H]5C)C(=O)C=C
7624,O=c1nc(c2cc(c(nc2n1-c3c(ccnc3C(C)C)SC)-c4c(cccc4F)O)F)N5C[C@H](N(C[C@@H]5C)C(=O)C=C)C
7626,O=c1nc(c2cc(c(nc2n1-c3c(ccnc3C(C)C)SC)-c4c(ccc(c4F)Cl)N)Cl)N5C[C@H](N(C[C@@H]5C)C(=O)C=C)C
7627,Fc1ccc(cc1)[C@](C)(N)c2cnc(nc2)N3CCN(CC3)c4ncnn5cc(cc45)-c6cnn(c6)C[C@H](O)C
7629,Fc1ccc(cc1)[C@](C)(N)c2cnc(nc2)N3CCN(CC3)c4ncnn5cc(cc45)-c6cnn(c6)C[C@@H](O)C
7628,Fc1ccc(cc1)[C@](C)(N)c2cnc(nc2)N3CCN(CC3)c4ncnn5cc(cc45)-c6cnn(c6)CCO
7630,N#Cc1cccc(c1C)[C@@H](C)Nc2nnc(c3cnc(cc23)N4CCOCC4)C
7633,N#Cc1c2CCC(Cc2c(s1)-c3cc(c(cc3)C(O)=O)O)(F)F
7636,N#Cc1cc(c(cc1OC)CCNCc2ccccc2O)OC
7689,O=C(c1cc2c(cc1)C(C(C2=O)C(=O)OCC)=O)c3cc4c(cc3)C(C(C4=O)C(=O)OCC)=O
7690,CC(=O)C1C(c2ccc(cc2C1=O)C(=O)c3cc4c(cc3)C(C(C4=O)C(C)=O)=O)=O
7691,CC(=O)N(C)[C@@H]1CN(CC1)C(=O)c2cnc(nc2)N[C@H](C)c3ccc(cc3F)C(F)(F)F
7696,OCc1cc(no1)-c2ccc(cc2)-c3cc(cc4cc(ccc34)-c5ccc(cc5)C(F)(F)F)C(O)=O
7745,C(n1ccc(c1)C(=O)NC2CCOCC2)c3c(cccc3F)F
7754,O=C(n1ccc(c1)C(=O)Cc2ccccc2)c3c(cccc3F)F
7762,O=C(n1ccc(c1)C(=O)Nc2cnccc2)c3ccccc3F
7764,O=c1[nH]c(no1)C(=O)Nc2cc(c(c(c2)C)Cc3c4c(CCCC4)c(cc3)O)C
7765,Cc1ccc(c(c1)OCCCC(C)(C)C(=O)NC2c3nn(c(c3OCCC2)-c4ccc(cc4)Cl)-c5ccccc5Cl)C
7766,Clc1ccc(cc1)-c2n(nc3c2OCCCC3NS(=O)(=O)c4ccc(cc4)Cl)-c5ccccc5Cl
7767,Nc1nc(nc2NC(C(c12)(C)C)=O)-n3c(n(c4ncc(cc34)F)CCC(F)(F)C(F)(F)F)=O
7779,Fc1ccc(cc1)[C@@H](CC)NC(=O)c2cc(cs2)-c3cn4nc(nc4c(c3)C(=O)N[C@@H](C)CC)N
