Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL1170860,C[C@H](NP(=O)(OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@](C)(O)[C@@H]1O)Oc1cccc2ccccc12)C(=O)O[C@@H](C)c1ccccc1,100000.0
CHEMBL1235569,O=Cc1ccc2ccccc2n1,100000.0
CHEMBL125,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,81810.0
CHEMBL1319750,Cc1cccc(-c2oc3ccc(-c4ccc5c(c4)OCO5)cc3c2C#Cc2cncn2C)c1,50000.0
CHEMBL1335010,O=C(CSc1nnc(-c2ccncc2)s1)Nc1ccccc1,15210.0
CHEMBL1401,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,40000.0
CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,500000.0
CHEMBL1422182,Cc1cc(Br)ccc1NC(=O)c1cnc(N2CCN(c3ccccn3)CC2)c2ccccc12,50000.0
CHEMBL1433,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,20000.0
CHEMBL1441801,c1ccc(Sc2cnc3ccccc3n2)cc1,50000.0
CHEMBL1447249,Cc1ccc2cc([N+](=O)[O-])ccc2n1,100000.0
CHEMBL14474,c1ccc2ncccc2c1,100000.0
CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,15600.0
CHEMBL1510023,Nc1c(C(=O)NC2CCCCC2)nsc1C(=O)OCC(=O)NC1CCCCC1,50000.0
CHEMBL1531829,O=[N+]([O-])c1cnc2ccccn12,100000.0
CHEMBL1569917,O=C(/C=C/c1cccs1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,140000.0
CHEMBL15750,O=[N+]([O-])c1ccccc1,100000.0
CHEMBL1631694,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,200000.0
CHEMBL164449,O=[N+]([O-])c1cccc2ncccc12,100000.0
