Structure_ID,SMILES
796,O=C(C=C)N1CC(C1)Cn2nc(c3cncc(c23)Cl)-c4ccc(cc4)Oc5ccncc5
849,C1[C@H](CCN1C(=O)C=C)n2nc(c3cncc(c23)Cl)-c4ccc(cc4)Oc5ccncc5
797,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cc(cc(c23)C#N)OC(=O)C=C)-c4ccc(cc4)-n5ccc(cc5)=O
811,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cncc(c23)C#N)-c4ccc(cc4)Oc5cccnc5C#N
799,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cncc(c23)Cl)-c4ccc(cc4)Oc5cncc(c5)C(=O)N
821,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cncc(c23)Cl)-c4ccc(cc4)Oc5ccncc5C(=O)N
800,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3c2nccc3Cl)-c4ccc(cc4)-n5ccc(cc5)=O
814,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cncc(c23)Cl)-c4ccc(cc4)-n5ccc(cc5)=O
801,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cncc(c23)Cl)-c4ccc(c(c4)F)-n5ccc(cc5)=O
832,C1[C@@H](CCCN1C(=O)C=C)n2nc(c3cncc(c23)Cl)-c4ccc(cc4F)-n5ccc(cc5)=O
803,Nc1ncc(c2c1c(nn2[C@H]3CN(CCC3)C(=O)C=C)-c4ccc(cc4)C(=O)Nc5nc(ccc5)F)Cl
828,Nc1ncc(c2c1c(nn2[C@H]3CN(CCC3)C(=O)C=C)-c4ccc(cc4)C(=O)Nc5ccc(cn5)F)Cl
834,Nc1ncc(c2c1c(nn2[C@H]3CN(CCC3)C(=O)C=C)-c4ccc(cc4)C(=O)Nc5ncccc5F)Cl
829,C1N(CCC[C@H]1n2nc(c3cncc(c23)Cl)-c4ccc(cc4)Oc5ccncc5)C(=O)C=C
873,C1N(CCC[C@H]1n2nc(c3c2nccc3Cl)-c4ccc(cc4)Oc5ccncc5)C(=O)C=C
