Structure_ID,SMILES
682,Nc1ncnc2c1ncn2[C@@H]3O[C@@H]([C@H]([C@H]3O)O)CN([C@@H]4C[C@@H](C4)CCc5[nH]c6ccc(cc6n5)C(C)(C)C)C(C)C
536,N#C/C(=N\O)C(=O)NCC1CCN(CC1)Cc2ccccc2
183,O=S(=O)(N(C)C)c1cc2N(c3ccccc3Sc2cc1)CCCN4CCN(CC4)CCN
1467,F[C@@H]1[C@@H](C[C@]2(CCC[C@@]1(N2)C)C)Oc3nnc(cc3)-c4cc5n(ccc(c5cc4O)=O)C
956,O=C(NCCC#N)Cc1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@@H](CC4)CC#N
957,O=C(Cc1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@@H](CC4)CC#N)NCC5(CCC5)O
1489,F[C@H]1[C@H](C[C@H]2N[C@@H]1CCC2)Oc3nnc(cc3)-c4ccc(cc4O)-c5nc(n(cc5)C)=O
1557,F[C@@H]1[C@@H](C[C@@H]2N[C@H]1CCC2)Oc3nnc(cc3)-c4ccc(cc4O)-c5nc(n(cc5)C)=O
1550,F[C@H]1[C@H](C[C@@]2(CCC[C@]1(N2)C)C)Oc3nnc(cc3)-c4cc5n(ccc(c5cc4O)=O)C
1595,F[C@@H]1[C@@H](C[C@@H]2N[C@H]1CC2)N(C)c3nnc(nc3)-c4ccc(cc4O)-c5cc(n(cc5)C)=O
83,O=C(NCCCN1CCN(CC1)CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CN
1458,F[C@@H]1[C@@H](C[C@@H]2N[C@H]1CCC2)Oc3nnc(cc3)-c4cnc(cc4O)-c5cn(nc5)C
1356,F[C@H]1[C@H](C[C@H]2N[C@@H]1CCC2)Oc3nnc(cc3)-c4cnc(cc4O)-c5cn(nc5)C
543,C(CNC(=O)/C=N/O)CNc1c2ccccc2nc3CCCCc13
15,O=C(NCCN1CCN(CC1)CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CNC
1074,FC1(c2ccccc2N(C1=O)Cc3nc4cc(ccc4n3CCCS(=O)(=O)C)Cl)F
1311,F[C@H]1[C@H](C[C@H]2N[C@@H]1CCC2)Oc3nnc(cc3)-c4ccc(cc4O)-c5cc[nH]c(c5)=O
1596,F[C@@H]1[C@@H](C[C@@H]2N[C@H]1CCC2)Oc3nnc(cc3)-c4ccc(cc4O)-c5cc[nH]c(c5)=O
113,NCCN1CCN(CC1)CCCN2c3ccccc3Sc4ccc(cc24)C#N
191,O=C(NCCN1CCN(CC1)CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CN
1224,O=C(N1CCC(CC1)c2ccc3CCCNc3n2)C4CCN(CC4)CC(O)=O
