Structure_ID,SMILES
182,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)-c4ccc(cc4)C(O)=O)Nc5ccc(cc5)S(F)(F)(F)(F)F
179,OC(=O)C(C)(C)Oc1ccc(cc1)-c2cc(c(cc2F)OC)C(=O)N[C@H]3[C@H]([C@H]4C[C@@H]3CC4)C(=O)Nc5cc(ccc5)S(=O)(=O)C(F)(F)F
475,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2NC(=O)c4cc(c(cc4OC)F)-c5ccc(cc5)C(O)=O
402,CC(C)Cc1cc(c(s1)S(=O)(=O)NC(=O)OCCCC)-c2ccc(cc2)Cn3ccnc3
466,OC(=O)[C@@H]1CC[C@@H](CC1)Oc2cc(c(cc2F)OC)C(=O)NC=3CCCC=3C(=O)Nc4cc(c(cc4)F)C(F)(F)F
679,Nc1nc(c(nc1Cl)C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc(cc3)CCCNC(=O)[C@H](N)Cc4ccccc4)N
215,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)-c4ccc(cc4)C(O)=O)Nc5cc(ccc5)S(F)(F)(F)(F)F
520,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)C2C3C=CC(C3)C2NC(=O)c4cc(c(cc4OC)F)-c5cccc(c5)C(O)=O
768,Nc1nc(c(nc1C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc(cc3)OCC(O)=O)Cl)N
786,Nc1nc(c(nc1C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc4CC(COc4c3)C(O)=O)Cl)N
795,Nc1nc(c(nc1Cl)C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc(cc3)CCC(=O)N(C)[C@H](CCCCN(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)OC)N
834,Nc1nc(c(nc1C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc(cc3)CCCO)Cl)N
494,O=C([C@H]1[C@@H]2C=C[C@@H](C2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(c(cc5)F)S(F)(F)(F)(F)F
438,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)C2C3C=CC(C3)C2NC(=O)c4cc(c(cc4OC)F)-c5ccc(cc5)C(O)=O
388,Fc1cc(cc(c1)NC(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2NC(=O)c4cc(c(cc4OC)F)-c5ccc(cc5)C(O)=O)C(F)(F)F
465,OC(=O)[C@@H]1CC[C@@H](CC1)Oc2cc(c(cc2F)OC)C(=O)NC=3CCCCC=3C(=O)Nc4cc(c(cc4)F)C(F)(F)F
128,OC(=O)[C@@]1(CC[C@@H](CC1)Oc2cc(c(cc2F)OC)C(=O)Nc3nn4cccnc4c3C(=O)NCC5(CCC5)C)C
472,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@H]3C[C@H](CC3)[C@H]2NC(=O)c4cc(c(cc4OC)F)Cc5cn[nH]c5
145,OC(=O)[C@@]1(CC[C@@H](CC1)Oc2cc(c(cc2F)OC)C(=O)Nc3cc4ccccc4cc3C(=O)NCC5(CCC5)C)C
413,Cc1cc2c3nncn3c(nc2c(c1)[C@@H](C)Nc4ccc(nc4C(O)=O)Cl)C56CC(C5)(C6)F
655,O=C(CCc1ccc(cc1)-c2ccc(cc2)CCCCNC(=N)NC(=O)c3nc(c(nc3N)N)Cl)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)OC
742,O=C(CO)[C@@]12O[C@@H](O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(C=C[C@@]5([C@H]4[C@H](C[C@]23C)O)C)=O)c6ccc(cc6)Cc7cc8CCOc8c(c7)N
777,O=C(CCc1ccc(cc1)-c2ccc(cc2)CCCCNC(=N)NC(=O)c3nc(c(nc3N)N)Cl)N[C@@H](Cc4ccccc4)C(=O)OC
889,FC(F)(F)c1nn(cc1-c2ccccc2[C@@H]3CN(Cc4sc(cc34)Cl)C(=O)C=C)CC
893,Brc1ccc(cc1)C2CCNC(C2)C
303,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F
119,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(c(cc5)Br)C(F)(F)F
325,C1CC(CCCN1c2nc(c(cc2C(=O)Nc3ccnc(c3)S(=O)(=O)N)C(F)(F)F)C)(F)F
405,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(c(cc5)Cl)C(F)(F)F
619,O=C(Cc1cc(ccc1)I)NC2CCN(CC2)c3nnc(cc3)-c4ccccc4OC
473,OC(=O)[C@@]1(CC[C@@H](CC1)Oc2cc(c(cc2F)OC)C(=O)N[C@@H]3CCC[C@@H]3C(=O)Nc4cc(c(cc4)F)S(F)(F)(F)(F)F)C
523,OC(=O)[C@@]1(CC[C@@H](CC1)Cc2cc(c(cc2F)OC)C(=O)N[C@H]3[C@H]([C@H]4C[C@@H]3CC4)C(=O)NCC5(CCC5)C)C
529,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@H]3C[C@H](CC3)[C@H]2NC(=O)c4cc(c(cc4OC)F)-c5ccc6[C@H](COc6c5)CC(O)=O
640,O=C(CCc1ccc(cc1)-c2ccc(cc2)CCCCNC(=N)NC(=O)c3nc(c(nc3N)N)Cl)N[C@@H](C(C)C)C(=O)OC
796,O=C(CCc1ccc(cc1)-c2ccc(cc2)CCCCNC(=N)NC(=O)c3nc(c(nc3N)N)Cl)N[C@@H](Cc4c[nH]c5ccccc45)C(O)=O
840,O=C(NCCN(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCCCCC)CCc1ccc(cc1)-c2ccc(cc2)CCCCNC(=N)NC(=O)c3nc(c(nc3N)N)Cl
895,OC(=O)[C@H]1C[C@@H]([C@H](C1)N)c2ccc(cc2)-c3cc(cc4cc(ccc34)-c5ccc(cc5)C(F)(F)F)C(O)=O
69,OC(=O)[C@H](CCN(CCOC)CCCCc1ccc2CCCNc2n1)Nc3ncnc4ccccc34
467,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2NC(=O)c4cc(c(cc4OC)F)-c5cc(ccc5)CC(O)=O
285,C1CC(CCCN1c2nc(c(cc2C(=O)Nc3cc(ccc3)S(=O)(=O)N)C(F)(F)F)C)(F)F
187,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@H]3C[C@H](CC3)[C@H]2NC(=O)c4cc(c(cc4OC)F)O[C@H]5CC[C@@H](CC5)NS(=O)(=O)C
416,OC(=O)[C@@]1(CC[C@@H](CC1)Oc2cc(c(cc2F)OC)C(=O)NC3C(C4CC3CC4)C(=O)Nc5cc(ccc5)S(=O)(=O)C(F)(F)F)C
434,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@H]3C[C@H](CC3)[C@H]2NC(=O)c4cc(c(cc4OC)F)-c5ccc(cc5)OCC(O)=O
400,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(ccc5)I
487,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(c(cc5)F)S(F)(F)(F)(F)F
180,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2[C@H]3C[C@H](CC3)[C@H]2NC(=O)c4cc(c(cc4OC)F)C5=CC[C@H](CC5)C(O)=O
421,Cc1nccn1Cc2cc(c(cc2)-c3cc(sc3S(=O)(=O)NC(=O)OC)CC(C)C)C
56,CCO[C@H]1CC[C@@H](CC1)n2nc(c(c2)NC(=O)c3csc(n3)-c4cn[nH]c4)-c5nc(ccc5F)F
332,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(c(cc5)C#N)Br
779,Nc1nc(c(nc1Cl)C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc(cc3C)CCC(O)=O)N
791,Nc1nc(c(nc1C(=O)NC(=N)NCCCCc2ccc(cc2)-c3ccc(cc3Cl)CCC(O)=O)Cl)N
407,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(O)=O)Nc5cc(c(c(c5)F)F)F
148,O=C([C@H]1[C@H]2C[C@H](CC2)[C@H]1NC(=O)c3cc(c(cc3OC)F)O[C@H]4CC[C@H](CC4)C(=O)N)Nc5cc(c(cc5)F)C(F)(F)F
197,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2CCC[C@H]2NC(=O)c3cc(c(cc3OC)F)-c4cc(ccc4)CCC(O)=O
419,O=S(=O)(C(F)(F)F)c1cccc(c1)NC(=O)[C@H]2CCC[C@H]2NC(=O)c3cc(c(cc3OC)F)-c4ccc(cc4)CCC(O)=O
