Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL322553,CCOc1ccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)cc1OCC,5600
CHEMBL126450,CCOC(=O)CCCn1cnc2cccc(Cl)c2c1=O,25000
CHEMBL126283,CCOC(=O)CCCCn1cnc2cc(OC)c(OC)cc2c1=O,6000
CHEMBL1567543,CC(C)n1c(SCCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,20000
CHEMBL1345225,C/C=C/Cn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,20000
CHEMBL170855,CCOC(=O)CCCn1c(=O)c2c(nc(S)n2C)n(C)c1=O,100000
CHEMBL174253,CCOC(=O)CCCn1c(=O)c2ccccc2n(C)c1=O,55000
CHEMBL172224,CCCn1c(=O)n(CCCC(=O)O)c(=O)c2nccnc21,200000
CHEMBL341012,CCOC(=O)CCCn1c(Nc2ccc(N=[N+]=[N-])cc2)nc2cc(OC)c(OC)cc2c1=O,50000
CHEMBL3936729,CCn1c(=O)c2cnc3c(OC)cccc3c2n(CCCF)c1=O,900
CHEMBL3986932,COc1cccc2c1ncc1c(=O)n(-c3ccc4c(c3)OCO4)c(=O)n(C3CCN(S(C)(=O)=O)CC3)c12,8
CHEMBL4110900,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n([C@@H]3CCNC3)c12,31
CHEMBL3642445,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@]4(CN)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,122
CHEMBL3639391,Cn1cc(-c2ccc3c(c2)C(=O)N(C[C@@]2(C#Cc4cccnc4)NC(=O)NC2=O)C3)cn1,10000001
CHEMBL3640306,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)c(N)nn4CCN(C)C)NC(=O)NC1=O)C2,101
CHEMBL435014,CCOC(=O)CCCn1cnc2ccc(F)cc2c1=O,25000
CHEMBL320567,NC(=O)CC(c1ccccc1)N1C(=O)c2ccccc2C1=O,260000
CHEMBL109316,COc1ccc(C(CC(=O)O)N2C(=O)c3ccccc3C2=O)cc1OC,60000
CHEMBL1719080,CN(C(=O)c1ccccc1)C(c1ccccc1)c1c[nH]c2ccccc12,20000
CHEMBL1412853,Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,20000
CHEMBL3740948,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,10000
CHEMBL4846484,CCCCCCCOCCNC(=O)[C@H](CCCCN)NCc1ccccc1,30000
CHEMBL4793685,c1ccc(-c2cccc3ccncc23)cc1,25300
CHEMBL127466,CCOC(=O)CCn1ccc2cc(OC)c(OC)cc2c1=O,50000
CHEMBL3971594,COC1C(COC(=O)CCC(=O)OC[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)OC(O)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,46000
CHEMBL327083,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,64000
CHEMBL124743,CCOC(=O)CCCn1cnc2ccccc2c1=O,25000
CHEMBL340346,CCOC(=O)CCCn1ccc2cc(O)c(O)cc2c1=O,2000
CHEMBL279785,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,1001
CHEMBL4751792,CC(C)(O)c1ncc(-c2ccc3ncc(Cl)c(NCc4ccccc4)c3c2)cn1,25000
CHEMBL126806,CCOC(=O)CCCOc1nc(N(C)C)nc2cc(OC)c(OC)cc12,25000
CHEMBL11440,O=C1CCC(N2C(=O)c3c(F)c(F)c(F)c(F)c3C2=O)C(=O)N1,400
CHEMBL1397246,COc1ccc(-c2cc(N)n(S(=O)(=O)c3ccc(C(C)(C)C)cc3)n2)cc1OC,20000
