Structure_ID,SMILES
16,C1CNC(c2c1[nH]c3c4ccncc4ccc23)=O
19,C[C@H]1NC[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@@H]1O)(C)O)CC)=O)C)O[C@H]2C[C@@]([C@]([C@@H](O2)C)(O)CNCCC)(C)OC)C)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C(=O)N(C)c4ccncc4C)C)(C)O)C
20,Brc1c2nc(c(nc2c(c3ccccc13)Br)-c4ccco4)-c5ccco5
21,OC(=O)Cc1sc(cc1)-c2c(nc3c(c4ccccc4c(c3n2)Br)Br)-c5sc(cc5)CC(O)=O
24,O=S(=O)(n1cc(c2ccccc12)CN(Cc3ncccc3)CCCCN(C)C4CCCCC4)c5ccccc5
25,O=S(=O)(n1cc(c2ccccc12)CN(Cc3cnccc3)CCCCN(C)C4CCCCC4)c5ccccc5
28,C1CC(=C(c2c1c3cc(ccc3n2[H])OC)NO)C
29,CO[C@@]1(C[C@@H](O[C@H]([C@@H]1O)C)O[C@H]2[C@@H]([C@H]([C@](C[C@H](CN([C@@H]([C@H]([C@]([C@H](OC([C@@H]2C)=O)CC)(C)O)O)C)C)C)(C)O)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C(=O)Nc4ccc(cc4)C(F)(F)F)C)C)C
30,C[C@H]1NC[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@@H]1O)(C)O)CC)=O)C)O[C@H]2C[C@@]([C@@H]([C@@H](O2)C)O)(C)OC)C)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C(=O)N(C)c4ccc(cc4)C(F)(F)F)C)(C)O)C
31,C[C@H]1NC[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(O[C@@H]([C@@]([C@@H]1O)(C)O)CC)=O)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C(=O)N(C)c4ccc(cc4)C(F)(F)F)C)(C)O)C
